CODGEO;LIBGEO;Loyer prédit en euros par m²;Code département
22375;Tressignaux;8.32133051503484;22
22116;Lanrodec;8.32133051503484;22
22019;Bringolo;8.32133051503484;22
22182;Plélo;8.55423343589521;22
22361;Tréguidel;8.32133051503484;22
22206;Châtelaudren-Plouagat;8.37205459656227;22
35356;Vignoc;9.02795012212388;35
35177;La Mézière;10.2569585756188;35
35210;Pacé;11.3855760956218;35
35003;Andouillé-Neuville;9.1026059415171;35
35110;Feins;9.1026059415171;35
35195;Montreuil-sur-Ille;9.52530132681736;35
35296;Saint-Médard-sur-Ille;9.44393530590773;35
35193;Montreuil-le-Gast;10.0810999161395;35
35007;Aubigné;9.1026059415171;35
35035;Bovel;8.16717840681175;35
35285;Saint-Just;8.16717840681175;35
35268;Saint-Ganton;8.16717840681175;35
35168;Val d'Anast;8.32733313745808;35
35175;Mernel;8.16717840681175;35
35045;Bruc-sur-Aff;8.16717840681175;35
35151;Lieuron;8.16717840681175;35
35219;Pipriac;8.47705784160944;35
22282;Saint-Cast-le-Guildo;8.60415927595695;22
22268;Ruca;8.60415927595695;22
22201;Plévenon;8.60415927595695;22
22273;Saint-Alban;8.60415927595695;22
22143;Matignon;8.60415927595695;22
22076;Hénanbihen;8.60415927595695;22
22237;Pluduno;8.60415927595695;22
22174;Pléboulle;8.60415927595695;22
22179;Fréhel;8.60415927595695;22
22286;Saint-Denoual;8.60415927595695;22
22311;Saint-Lormel;8.60415927595695;22
22077;Hénansal;8.60415927595695;22
35169;Maxent;7.8768947225743;35
56012;Beignon;7.8768947225743;56
56180;Porcaro;7.8768947225743;56
56226;Saint-Malo-de-Beignon;7.8768947225743;56
35223;Plélan-le-Grand;8.31552403273112;35
56136;Monteneuf;7.8768947225743;56
22304;Saint-Jean-Kerdaniel;7.89341439144662;22
22070;Guingamp;8.51041846315544;22
22272;Saint-Agathon;8.35657029312021;22
35114;Forges-la-Forêt;7.0319158273911;35
35103;Eancé;7.0319158273911;35
22104;Languédias;7.87304222581911;22
22391;Yvignac-la-Tour;7.87304222581911;22
22021;Brusvily;7.87304222581911;22
22071;Guitté;7.87304222581911;22
22342;Trébédan;7.87304222581911;22
22020;Broons;7.83678037199783;22
22032;Caulnes;8.40570594233669;22
22239;Plumaudan;7.87304222581911;22
22348;Trédias;7.87304222581911;22
22013;Bourbriac;8.02451453231007;22
22189;Plésidy;7.63398112473734;22
22135;Louargat;8.21957454044476;22
22359;Trégrom;7.63398112473734;22
22156;Moustéru;7.63398112473734;22
22138;Maël-Pestivien;7.63398112473734;22
22320;Saint-Nicodème;7.63398112473734;22
22216;Plougonver;7.63398112473734;22
22354;Tréglamus;7.63398112473734;22
22169;Peumerit-Quintin;7.63398112473734;22
22088;Kerien;7.63398112473734;22
22302;Saint-Jacut-de-la-Mer;10.2045350692616;22
22209;Beaussais-sur-Mer;9.67612264829418;22
35181;Le Minihic-sur-Rance;10.2045350692616;35
22103;Langrolay-sur-Rance;10.2045350692616;22
35228;Pleurtuit;10.0848950243533;35
44199;Soudan;8.12590105402889;44
44170;Saint-Julien-de-Vouvantes;7.8081833072102;44
35167;Martigné-Ferchaud;8.37685065401284;35
44031;La Chapelle-Glain;7.8081833072102;44
44078;Juigné-des-Moutiers;7.8081833072102;44
44218;Villepot;7.8081833072102;44
29022;Camaret-sur-Mer;9.0676310533184;29
29044;Dinéault;9.0676310533184;29
29042;Crozon;10.0056529459831;29
29289;Trégarvan;9.0676310533184;29
29120;Lanvéoc;9.0676310533184;29
29302;Pont-de-Buis-lès-Quimerch;8.23405665282956;29
29001;Argol;9.0676310533184;29
29238;Roscanvel;9.0676310533184;29
29104;Landévennec;9.0676310533184;29
29139;Lopérec;9.0676310533184;29
29280;Telgruc-sur-Mer;9.0676310533184;29
44159;Saint-Fiacre-sur-Maine;11.2997941220309;44
44215;Vertou;12.314020913184;44
22115;Lanrivain;6.9025055945597;22
22139;Magoar;6.9025055945597;22
22052;Duault;6.9025055945597;22
22087;Kergrist-Moëlou;6.9025055945597;22
22229;Plounévez-Quintin;6.9025055945597;22
22061;Glomel;6.9025055945597;22
22181;Plélauff;6.9025055945597;22
22220;Plouguernével;6.9025055945597;22
22331;Sainte-Tréphine;6.9025055945597;22
22365;Trémargat;6.9025055945597;22
22128;Locarn;6.9025055945597;22
22266;Rostrenen;7.25883190999677;22
22344;Trébrivan;6.9025055945597;22
29021;Plounéour-Brignogan-plages;8.64926543972145;29
29248;Saint-Frégant;8.64926543972145;29
29255;Saint-Méen;8.64926543972145;29
29287;Tréflez;8.64926543972145;29
29206;Plounévez-Lochrist;8.11132528525093;29
29264;Saint-Servais;8.64926543972145;29
29064;Goulven;8.64926543972145;29
29204;Plounéventer;8.68429756235228;29
29198;Plouider;8.64926543972145;29
29014;Botsorhel;6.63874765222973;29
22024;Calanhel;6.63874765222973;22
22231;Plourac'h;6.63874765222973;22
22132;Lohuec;6.63874765222973;22
29067;Guerlesquin;6.63874765222973;29
22217;Plougras;6.63874765222973;22
22129;Loc-Envel;6.63874765222973;22
22005;Belle-Isle-en-Terre;6.63874765222973;22
29012;Bolazec;6.63874765222973;29
22131;Loguivy-Plougras;6.63874765222973;22
29199;Plouigneau;8.08866247742488;29
22037;La Chapelle-Neuve;6.63874765222973;22
35105;Erbrée;7.56897806867241;35
35061;La Chapelle-Erbrée;7.56897806867241;35
35300;Saint-M'Hervé;7.56897806867241;35
29251;Saint-Jean-du-Doigt;8.63589394212921;29
29151;Morlaix;9.27561813999996;29
29059;Garlan;8.63589394212921;29
29188;Plougasnou;8.63589394212921;29
29113;Lanmeur;8.63589394212921;29
29186;Plouezoc'h;8.63589394212921;29
29182;Plouégat-Guérand;8.63589394212921;29
35079;Chevaigné;9.5352944135032;35
35024;Betton;10.1264821338904;35
35197;Mouazé;9.24169935410359;35
35315;Saint-Sulpice-la-Forêt;9.24169935410359;35
29144;La Martyre;9.79516834966521;29
29294;Le Tréhou;9.79516834966521;29
29045;Dirinon;10.3896723529052;29
29246;Saint-Eloy;9.79516834966521;29
29277;Sizun;9.79516834966521;29
29237;La Roche-Maurice;9.79516834966521;29
29156;Pencran;9.79516834966521;29
29140;Loperhet;11.4585494290978;29
22238;Plufur;6.91330042081061;22
22254;Prat;6.91330042081061;22
22349;Trédrez-Locquémeau;6.91330042081061;22
22141;Mantallot;6.91330042081061;22
22245;Pluzunet;6.91330042081061;22
22211;Ploubezre;7.6726451330723;22
22350;Tréduder;6.91330042081061;22
22006;Berhet;6.91330042081061;22
22235;Plouzélambre;6.91330042081061;22
22226;Ploumilliau;7.42023111611293;22
22319;Saint-Michel-en-Grève;6.91330042081061;22
22067;Grâces;8.38049305641257;22
22289;Saint-Fiacre;7.886330030872;22
22223;Plouisy;8.5621858298614;22
22322;Saint-Péver;7.886330030872;22
22225;Ploumagoar;8.59031558460278;22
22271;Saint-Adrien;7.886330030872;22
22040;Coadout;7.886330030872;22
