CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_natalit___pour_mille_
22001,Allineuc,22,2024,Taux brut de natalité (pour mille),7.7
22002,Andel,22,2024,Taux brut de natalité (pour mille),7.7
22003,Aucaleuc,22,2024,Taux brut de natalité (pour mille),7.7
22004,Bégard,22,2024,Taux brut de natalité (pour mille),7.7
22005,Belle-Isle-en-Terre,22,2024,Taux brut de natalité (pour mille),7.7
22006,Berhet,22,2024,Taux brut de natalité (pour mille),7.7
22008,Bobital,22,2024,Taux brut de natalité (pour mille),7.7
22009,Le Bodéo,22,2024,Taux brut de natalité (pour mille),7.7
22011,Boqueho,22,2024,Taux brut de natalité (pour mille),7.7
22012,La Bouillie,22,2024,Taux brut de natalité (pour mille),7.7
22013,Bourbriac,22,2024,Taux brut de natalité (pour mille),7.7
22014,Bourseul,22,2024,Taux brut de natalité (pour mille),7.7
22015,Bréhand,22,2024,Taux brut de natalité (pour mille),7.7
22016,Île-de-Bréhat,22,2024,Taux brut de natalité (pour mille),7.7
22018,Brélidy,22,2024,Taux brut de natalité (pour mille),7.7
22019,Bringolo,22,2024,Taux brut de natalité (pour mille),7.7
22020,Broons,22,2024,Taux brut de natalité (pour mille),7.7
22021,Brusvily,22,2024,Taux brut de natalité (pour mille),7.7
22023,Bulat-Pestivien,22,2024,Taux brut de natalité (pour mille),7.7
22024,Calanhel,22,2024,Taux brut de natalité (pour mille),7.7
22025,Callac,22,2024,Taux brut de natalité (pour mille),7.7
22026,Calorguen,22,2024,Taux brut de natalité (pour mille),7.7
22027,Le Cambout,22,2024,Taux brut de natalité (pour mille),7.7
22028,Camlez,22,2024,Taux brut de natalité (pour mille),7.7
22029,Canihuel,22,2024,Taux brut de natalité (pour mille),7.7
22030,Caouënnec-Lanvézéac,22,2024,Taux brut de natalité (pour mille),7.7
22031,Carnoët,22,2024,Taux brut de natalité (pour mille),7.7
22032,Caulnes,22,2024,Taux brut de natalité (pour mille),7.7
22033,Caurel,22,2024,Taux brut de natalité (pour mille),7.7
22034,Cavan,22,2024,Taux brut de natalité (pour mille),7.7
22035,Les Champs-Géraux,22,2024,Taux brut de natalité (pour mille),7.7
22036,La Chapelle-Blanche,22,2024,Taux brut de natalité (pour mille),7.7
22037,La Chapelle-Neuve,22,2024,Taux brut de natalité (pour mille),7.7
22039,La Chèze,22,2024,Taux brut de natalité (pour mille),7.7
22040,Coadout,22,2024,Taux brut de natalité (pour mille),7.7
22041,Coatascorn,22,2024,Taux brut de natalité (pour mille),7.7
22042,Coatréven,22,2024,Taux brut de natalité (pour mille),7.7
22043,Coëtlogon,22,2024,Taux brut de natalité (pour mille),7.7
22044,Coëtmieux,22,2024,Taux brut de natalité (pour mille),7.7
22045,Cohiniac,22,2024,Taux brut de natalité (pour mille),7.7
22046,Le Mené,22,2024,Taux brut de natalité (pour mille),7.7
22047,Corlay,22,2024,Taux brut de natalité (pour mille),7.7
22048,Corseul,22,2024,Taux brut de natalité (pour mille),7.7
22049,Créhen,22,2024,Taux brut de natalité (pour mille),7.7
22050,Dinan,22,2024,Taux brut de natalité (pour mille),7.7
22052,Duault,22,2024,Taux brut de natalité (pour mille),7.7
22053,Éréac,22,2024,Taux brut de natalité (pour mille),7.7
22054,Erquy,22,2024,Taux brut de natalité (pour mille),7.7
22055,Binic-Étables-sur-Mer,22,2024,Taux brut de natalité (pour mille),7.7
22056,Évran,22,2024,Taux brut de natalité (pour mille),7.7
22057,Le Faouët,22,2024,Taux brut de natalité (pour mille),7.7
22059,Le Fœil,22,2024,Taux brut de natalité (pour mille),7.7
22060,Gausson,22,2024,Taux brut de natalité (pour mille),7.7
22061,Glomel,22,2024,Taux brut de natalité (pour mille),7.7
22062,Gomené,22,2024,Taux brut de natalité (pour mille),7.7
22063,Gommenec'h,22,2024,Taux brut de natalité (pour mille),7.7
22064,Gouarec,22,2024,Taux brut de natalité (pour mille),7.7
22065,Goudelin,22,2024,Taux brut de natalité (pour mille),7.7
22067,Grâces,22,2024,Taux brut de natalité (pour mille),7.7
22068,Grâce-Uzel,22,2024,Taux brut de natalité (pour mille),7.7
22069,Guenroc,22,2024,Taux brut de natalité (pour mille),7.7
22070,Guingamp,22,2024,Taux brut de natalité (pour mille),7.7
22071,Guitté,22,2024,Taux brut de natalité (pour mille),7.7
22072,Gurunhuel,22,2024,Taux brut de natalité (pour mille),7.7
22073,La Harmoye,22,2024,Taux brut de natalité (pour mille),7.7
22074,Le Haut-Corlay,22,2024,Taux brut de natalité (pour mille),7.7
22075,Hémonstoir,22,2024,Taux brut de natalité (pour mille),7.7
22076,Hénanbihen,22,2024,Taux brut de natalité (pour mille),7.7
22077,Hénansal,22,2024,Taux brut de natalité (pour mille),7.7
22079,Hénon,22,2024,Taux brut de natalité (pour mille),7.7
22081,Hillion,22,2024,Taux brut de natalité (pour mille),7.7
22082,Le Hinglé,22,2024,Taux brut de natalité (pour mille),7.7
22083,Illifaut,22,2024,Taux brut de natalité (pour mille),7.7
22084,Jugon-les-Lacs,22,2024,Taux brut de natalité (pour mille),7.7
22085,Kerbors,22,2024,Taux brut de natalité (pour mille),7.7
22086,Kerfot,22,2024,Taux brut de natalité (pour mille),7.7
22087,Kergrist-Moëlou,22,2024,Taux brut de natalité (pour mille),7.7
22088,Kerien,22,2024,Taux brut de natalité (pour mille),7.7
22090,Kermaria-Sulard,22,2024,Taux brut de natalité (pour mille),7.7
22091,Kermoroc'h,22,2024,Taux brut de natalité (pour mille),7.7
22092,Kerpert,22,2024,Taux brut de natalité (pour mille),7.7
22093,Lamballe-Armor,22,2024,Taux brut de natalité (pour mille),7.7
22094,Lancieux,22,2024,Taux brut de natalité (pour mille),7.7
22095,Landebaëron,22,2024,Taux brut de natalité (pour mille),7.7
22096,Landébia,22,2024,Taux brut de natalité (pour mille),7.7
22097,La Landec,22,2024,Taux brut de natalité (pour mille),7.7
22098,Landéhen,22,2024,Taux brut de natalité (pour mille),7.7
22099,Lanfains,22,2024,Taux brut de natalité (pour mille),7.7
22101,Langoat,22,2024,Taux brut de natalité (pour mille),7.7
22103,Langrolay-sur-Rance,22,2024,Taux brut de natalité (pour mille),7.7
22104,Languédias,22,2024,Taux brut de natalité (pour mille),7.7
22105,Languenan,22,2024,Taux brut de natalité (pour mille),7.7
22106,Langueux,22,2024,Taux brut de natalité (pour mille),7.7
22107,Bon Repos sur Blavet,22,2024,Taux brut de natalité (pour mille),7.7
22108,Lanleff,22,2024,Taux brut de natalité (pour mille),7.7
22109,Lanloup,22,2024,Taux brut de natalité (pour mille),7.7
22110,Lanmérin,22,2024,Taux brut de natalité (pour mille),7.7
22111,Lanmodez,22,2024,Taux brut de natalité (pour mille),7.7
22112,Lannebert,22,2024,Taux brut de natalité (pour mille),7.7
22113,Lannion,22,2024,Taux brut de natalité (pour mille),7.7
22114,Lanrelas,22,2024,Taux brut de natalité (pour mille),7.7
22115,Lanrivain,22,2024,Taux brut de natalité (pour mille),7.7
22116,Lanrodec,22,2024,Taux brut de natalité (pour mille),7.7
22117,Lantic,22,2024,Taux brut de natalité (pour mille),7.7
22118,Lanvallay,22,2024,Taux brut de natalité (pour mille),7.7
22119,Lanvellec,22,2024,Taux brut de natalité (pour mille),7.7
22121,Lanvollon,22,2024,Taux brut de natalité (pour mille),7.7
22122,Laurenan,22,2024,Taux brut de natalité (pour mille),7.7
22124,Lescouët-Gouarec,22,2024,Taux brut de natalité (pour mille),7.7
22126,Le Leslay,22,2024,Taux brut de natalité (pour mille),7.7
22127,Lézardrieux,22,2024,Taux brut de natalité (pour mille),7.7
22128,Locarn,22,2024,Taux brut de natalité (pour mille),7.7
22129,Loc-Envel,22,2024,Taux brut de natalité (pour mille),7.7
22131,Loguivy-Plougras,22,2024,Taux brut de natalité (pour mille),7.7
22132,Lohuec,22,2024,Taux brut de natalité (pour mille),7.7
22133,Loscouët-sur-Meu,22,2024,Taux brut de natalité (pour mille),7.7
22134,Louannec,22,2024,Taux brut de natalité (pour mille),7.7
22135,Louargat,22,2024,Taux brut de natalité (pour mille),7.7
22136,Loudéac,22,2024,Taux brut de natalité (pour mille),7.7
22137,Maël-Carhaix,22,2024,Taux brut de natalité (pour mille),7.7
22138,Maël-Pestivien,22,2024,Taux brut de natalité (pour mille),7.7
22139,Magoar,22,2024,Taux brut de natalité (pour mille),7.7
